id,im_path,label_path,labels
1623370408-092005506,./sample/images\1623370408-092005506.png,./sample/labels\1623370408-092005506.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370411-441851318,./sample/images\1623370411-441851318.png,./sample/labels\1623370411-441851318.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370412-986500272,./sample/images\1623370412-986500272.png,./sample/labels\1623370412-986500272.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370414-524345498,./sample/images\1623370414-524345498.png,./sample/labels\1623370414-524345498.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370419-079891555,./sample/images\1623370419-079891555.png,./sample/labels\1623370419-079891555.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370421-023179566,./sample/images\1623370421-023179566.png,./sample/labels\1623370421-023179566.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370425-177764307,./sample/images\1623370425-177764307.png,./sample/labels\1623370425-177764307.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370427-655924740,./sample/images\1623370427-655924740.png,./sample/labels\1623370427-655924740.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370429-599298740,./sample/images\1623370429-599298740.png,./sample/labels\1623370429-599298740.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370431-877034758,./sample/images\1623370431-877034758.png,./sample/labels\1623370431-877034758.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370438-443034581,./sample/images\1623370438-443034581.png,./sample/labels\1623370438-443034581.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370439-112982648,./sample/images\1623370439-112982648.png,./sample/labels\1623370439-112982648.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370440-318997149,./sample/images\1623370440-318997149.png,./sample/labels\1623370440-318997149.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370450-035269387,./sample/images\1623370450-035269387.png,./sample/labels\1623370450-035269387.png,"['fence', 'grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370452-981999473,./sample/images\1623370452-981999473.png,./sample/labels\1623370452-981999473.png,"['fence', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370454-657175784,./sample/images\1623370454-657175784.png,./sample/labels\1623370454-657175784.png,"['fence', 'grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'dirt']"
1623370456-801149630,./sample/images\1623370456-801149630.png,./sample/labels\1623370456-801149630.png,"['fence', 'grass', 'tree-foliage', 'tree-trunk', 'log', 'gravel', 'sky', 'dirt']"
1623370459-481286459,./sample/images\1623370459-481286459.png,./sample/labels\1623370459-481286459.png,"['fence', 'grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370461-764772906,./sample/images\1623370461-764772906.png,./sample/labels\1623370461-764772906.png,"['fence', 'grass', 'other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370466-114295199,./sample/images\1623370466-114295199.png,./sample/labels\1623370466-114295199.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'pole', 'dirt']"
1623370469-603328059,./sample/images\1623370469-603328059.png,./sample/labels\1623370469-603328059.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370470-804233922,./sample/images\1623370470-804233922.png,./sample/labels\1623370470-804233922.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370473-015957298,./sample/images\1623370473-015957298.png,./sample/labels\1623370473-015957298.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370474-625888651,./sample/images\1623370474-625888651.png,./sample/labels\1623370474-625888651.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt', 'other-terrain']"
1623370479-382689468,./sample/images\1623370479-382689468.png,./sample/labels\1623370479-382689468.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370483-400342824,./sample/images\1623370483-400342824.png,./sample/labels\1623370483-400342824.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370485-812365616,./sample/images\1623370485-812365616.png,./sample/labels\1623370485-812365616.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370487-755815747,./sample/images\1623370487-755815747.png,./sample/labels\1623370487-755815747.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370489-765419840,./sample/images\1623370489-765419840.png,./sample/labels\1623370489-765419840.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370491-574419350,./sample/images\1623370491-574419350.png,./sample/labels\1623370491-574419350.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370494-188161820,./sample/images\1623370494-188161820.png,./sample/labels\1623370494-188161820.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370497-135467231,./sample/images\1623370497-135467231.png,./sample/labels\1623370497-135467231.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370499-480522421,./sample/images\1623370499-480522421.png,./sample/labels\1623370499-480522421.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370501-895638486,./sample/images\1623370501-895638486.png,./sample/labels\1623370501-895638486.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370504-572433390,./sample/images\1623370504-572433390.png,./sample/labels\1623370504-572433390.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370505-780336399,./sample/images\1623370505-780336399.png,./sample/labels\1623370505-780336399.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370507-521213401,./sample/images\1623370507-521213401.png,./sample/labels\1623370507-521213401.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370513-215580840,./sample/images\1623370513-215580840.png,./sample/labels\1623370513-215580840.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370515-226917051,./sample/images\1623370515-226917051.png,./sample/labels\1623370515-226917051.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370516-565569955,./sample/images\1623370516-565569955.png,./sample/labels\1623370516-565569955.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370519-178648201,./sample/images\1623370519-178648201.png,./sample/labels\1623370519-178648201.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370523-265653406,./sample/images\1623370523-265653406.png,./sample/labels\1623370523-265653406.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370526-682605867,./sample/images\1623370526-682605867.png,./sample/labels\1623370526-682605867.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370528-826680615,./sample/images\1623370528-826680615.png,./sample/labels\1623370528-826680615.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370535-459886420,./sample/images\1623370535-459886420.png,./sample/labels\1623370535-459886420.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370537-134741275,./sample/images\1623370537-134741275.png,./sample/labels\1623370537-134741275.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370539-278798518,./sample/images\1623370539-278798518.png,./sample/labels\1623370539-278798518.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370542-629760993,./sample/images\1623370542-629760993.png,./sample/labels\1623370542-629760993.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370547-589657972,./sample/images\1623370547-589657972.png,./sample/labels\1623370547-589657972.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370549-798036254,./sample/images\1623370549-798036254.png,./sample/labels\1623370549-798036254.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'dirt']"
1623370552-410961116,./sample/images\1623370552-410961116.png,./sample/labels\1623370552-410961116.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370555-358916479,./sample/images\1623370555-358916479.png,./sample/labels\1623370555-358916479.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370563-532882631,./sample/images\1623370563-532882631.png,./sample/labels\1623370563-532882631.png,"['other-object', 'tree-foliage', 'tree-trunk', 'rock', 'sky', 'dirt']"
1623370566-951232089,./sample/images\1623370566-951232089.png,./sample/labels\1623370566-951232089.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370568-960631020,./sample/images\1623370568-960631020.png,./sample/labels\1623370568-960631020.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370575-057401829,./sample/images\1623370575-057401829.png,./sample/labels\1623370575-057401829.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'dirt']"
1623370577-402127179,./sample/images\1623370577-402127179.png,./sample/labels\1623370577-402127179.png,"['grass', 'water', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370579-479476609,./sample/images\1623370579-479476609.png,./sample/labels\1623370579-479476609.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370583-030297326,./sample/images\1623370583-030297326.png,./sample/labels\1623370583-030297326.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370585-710150269,./sample/images\1623370585-710150269.png,./sample/labels\1623370585-710150269.png,"['mud', 'grass', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370589-529253608,./sample/images\1623370589-529253608.png,./sample/labels\1623370589-529253608.png,"['grass', 'tree-foliage', 'tree-trunk', 'rock', 'sky', 'dirt']"
1623370591-740089516,./sample/images\1623370591-740089516.png,./sample/labels\1623370591-740089516.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370593-549166053,./sample/images\1623370593-549166053.png,./sample/labels\1623370593-549166053.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370596-162325775,./sample/images\1623370596-162325775.png,./sample/labels\1623370596-162325775.png,"['other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370597-971377638,./sample/images\1623370597-971377638.png,./sample/labels\1623370597-971377638.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370599-713337030,./sample/images\1623370599-713337030.png,./sample/labels\1623370599-713337030.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'dirt']"
1623370602-996388272,./sample/images\1623370602-996388272.png,./sample/labels\1623370602-996388272.png,"['grass', 'tree-foliage', 'tree-trunk', 'rock', 'sky', 'dirt']"
1623370604-805380741,./sample/images\1623370604-805380741.png,./sample/labels\1623370604-805380741.png,"['grass', 'tree-foliage', 'tree-trunk', 'rock', 'sky', 'dirt']"
1623370607-888812216,./sample/images\1623370607-888812216.png,./sample/labels\1623370607-888812216.png,"['grass', 'tree-foliage', 'tree-trunk', 'rock', 'sky', 'dirt']"
1623370610-433238873,./sample/images\1623370610-433238873.png,./sample/labels\1623370610-433238873.png,"['grass', 'tree-foliage', 'tree-trunk', 'rock', 'sky', 'dirt']"
1623370612-109114162,./sample/images\1623370612-109114162.png,./sample/labels\1623370612-109114162.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'rock', 'sky', 'dirt']"
1623370614-722118068,./sample/images\1623370614-722118068.png,./sample/labels\1623370614-722118068.png,"['tree-foliage', 'grass', 'tree-trunk', 'dirt']"
1623370617-401394407,./sample/images\1623370617-401394407.png,./sample/labels\1623370617-401394407.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370621-421368902,./sample/images\1623370621-421368902.png,./sample/labels\1623370621-421368902.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370622-292488909,./sample/images\1623370622-292488909.png,./sample/labels\1623370622-292488909.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370623-163400553,./sample/images\1623370623-163400553.png,./sample/labels\1623370623-163400553.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370624-172210862,./sample/images\1623370624-172210862.png,./sample/labels\1623370624-172210862.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370625-776398187,./sample/images\1623370625-776398187.png,./sample/labels\1623370625-776398187.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370629-059417780,./sample/images\1623370629-059417780.png,./sample/labels\1623370629-059417780.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370633-950508378,./sample/images\1623370633-950508378.png,./sample/labels\1623370633-950508378.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370636-965512851,./sample/images\1623370636-965512851.png,./sample/labels\1623370636-965512851.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370639-176525311,./sample/images\1623370639-176525311.png,./sample/labels\1623370639-176525311.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370640-449779203,./sample/images\1623370640-449779203.png,./sample/labels\1623370640-449779203.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt', 'other-terrain']"
1623370643-732544383,./sample/images\1623370643-732544383.png,./sample/labels\1623370643-732544383.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370646-077600085,./sample/images\1623370646-077600085.png,./sample/labels\1623370646-077600085.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370648-695148409,./sample/images\1623370648-695148409.png,./sample/labels\1623370648-695148409.png,"['grass', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370650-164595114,./sample/images\1623370650-164595114.png,./sample/labels\1623370650-164595114.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'log', 'sky', 'dirt']"
1623370652-309476749,./sample/images\1623370652-309476749.png,./sample/labels\1623370652-309476749.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370654-385767694,./sample/images\1623370654-385767694.png,./sample/labels\1623370654-385767694.png,"['grass', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
1623370655-256606023,./sample/images\1623370655-256606023.png,./sample/labels\1623370655-256606023.png,"['grass', 'other-object', 'tree-foliage', 'tree-trunk', 'sky', 'dirt']"
