id,im_path,label_path,labels
1623370408-092005506,./sample/images\1623370408-092005506.png,./sample/labels\1623370408-092005506.png,"('dirt', 'tree-trunk', 'tree-foliage', 'rock', 'log', 'sky', 'grass')"
1623370412-986500272,./sample/images\1623370412-986500272.png,./sample/labels\1623370412-986500272.png,"('dirt', 'tree-trunk', 'tree-foliage', 'rock', 'log', 'other-object', 'sky', 'grass')"
1623370419-079891555,./sample/images\1623370419-079891555.png,./sample/labels\1623370419-079891555.png,"('dirt', 'tree-trunk', 'tree-foliage', 'log', 'sky', 'grass')"
1623370425-177764307,./sample/images\1623370425-177764307.png,./sample/labels\1623370425-177764307.png,"('dirt', 'tree-trunk', 'tree-foliage', 'log', 'sky', 'grass')"
1623370431-877034758,./sample/images\1623370431-877034758.png,./sample/labels\1623370431-877034758.png,"('dirt', 'tree-trunk', 'tree-foliage', 'log', 'other-object', 'sky', 'grass')"
1623370438-443034581,./sample/images\1623370438-443034581.png,./sample/labels\1623370438-443034581.png,"('dirt', 'tree-trunk', 'tree-foliage', 'log', 'other-object', 'sky', 'grass')"
1623370450-035269387,./sample/images\1623370450-035269387.png,./sample/labels\1623370450-035269387.png,"('dirt', 'tree-trunk', 'tree-foliage', 'fence', 'log', 'other-object', 'sky', 'grass')"
1623370452-981999473,./sample/images\1623370452-981999473.png,./sample/labels\1623370452-981999473.png,"('dirt', 'tree-trunk', 'tree-foliage', 'fence', 'log', 'other-object', 'sky')"
1623370456-801149630,./sample/images\1623370456-801149630.png,./sample/labels\1623370456-801149630.png,"('dirt', 'gravel', 'tree-trunk', 'tree-foliage', 'fence', 'log', 'sky', 'grass')"
1623370461-764772906,./sample/images\1623370461-764772906.png,./sample/labels\1623370461-764772906.png,"('dirt', 'tree-trunk', 'tree-foliage', 'fence', 'other-object', 'sky', 'grass')"
1623370470-804233922,./sample/images\1623370470-804233922.png,./sample/labels\1623370470-804233922.png,"('dirt', 'tree-trunk', 'tree-foliage', 'sky', 'grass')"
1623370474-625888651,./sample/images\1623370474-625888651.png,./sample/labels\1623370474-625888651.png,"('dirt', 'other-terrain', 'tree-trunk', 'tree-foliage', 'other-object', 'sky', 'grass')"
