id,im_path,label_path,unlabelled,asphalt,dirt,mud,water,gravel,other-terrain,tree-trunk,tree-foliage,bush,fence,structure,pole,vehicle,rock,log,other-object,sky,grass
1623370408-092005506,./sample/images\1623370408-092005506.png,./sample/labels\1623370408-092005506.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
1623370419-079891555,./sample/images\1623370419-079891555.png,./sample/labels\1623370419-079891555.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370431-877034758,./sample/images\1623370431-877034758.png,./sample/labels\1623370431-877034758.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623370450-035269387,./sample/images\1623370450-035269387.png,./sample/labels\1623370450-035269387.png,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1
1623370456-801149630,./sample/images\1623370456-801149630.png,./sample/labels\1623370456-801149630.png,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1
1623370470-804233922,./sample/images\1623370470-804233922.png,./sample/labels\1623370470-804233922.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370483-400342824,./sample/images\1623370483-400342824.png,./sample/labels\1623370483-400342824.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370489-765419840,./sample/images\1623370489-765419840.png,./sample/labels\1623370489-765419840.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370499-480522421,./sample/images\1623370499-480522421.png,./sample/labels\1623370499-480522421.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370507-521213401,./sample/images\1623370507-521213401.png,./sample/labels\1623370507-521213401.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370519-178648201,./sample/images\1623370519-178648201.png,./sample/labels\1623370519-178648201.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370537-134741275,./sample/images\1623370537-134741275.png,./sample/labels\1623370537-134741275.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370549-798036254,./sample/images\1623370549-798036254.png,./sample/labels\1623370549-798036254.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
1623370563-532882631,./sample/images\1623370563-532882631.png,./sample/labels\1623370563-532882631.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
1623370577-402127179,./sample/images\1623370577-402127179.png,./sample/labels\1623370577-402127179.png,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1
1623370589-529253608,./sample/images\1623370589-529253608.png,./sample/labels\1623370589-529253608.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
1623370597-971377638,./sample/images\1623370597-971377638.png,./sample/labels\1623370597-971377638.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370610-433238873,./sample/images\1623370610-433238873.png,./sample/labels\1623370610-433238873.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
1623370621-421368902,./sample/images\1623370621-421368902.png,./sample/labels\1623370621-421368902.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370624-172210862,./sample/images\1623370624-172210862.png,./sample/labels\1623370624-172210862.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370636-965512851,./sample/images\1623370636-965512851.png,./sample/labels\1623370636-965512851.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370646-077600085,./sample/images\1623370646-077600085.png,./sample/labels\1623370646-077600085.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370654-385767694,./sample/images\1623370654-385767694.png,./sample/labels\1623370654-385767694.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370663-097872542,./sample/images\1623370663-097872542.png,./sample/labels\1623370663-097872542.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370671-202967125,./sample/images\1623370671-202967125.png,./sample/labels\1623370671-202967125.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370690-699841058,./sample/images\1623370690-699841058.png,./sample/labels\1623370690-699841058.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370702-090020680,./sample/images\1623370702-090020680.png,./sample/labels\1623370702-090020680.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370715-691091989,./sample/images\1623370715-691091989.png,./sample/labels\1623370715-691091989.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370720-381062810,./sample/images\1623370720-381062810.png,./sample/labels\1623370720-381062810.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1623370732-776143140,./sample/images\1623370732-776143140.png,./sample/labels\1623370732-776143140.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370743-965290445,./sample/images\1623370743-965290445.png,./sample/labels\1623370743-965290445.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370755-423110279,./sample/images\1623370755-423110279.png,./sample/labels\1623370755-423110279.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370763-730389748,./sample/images\1623370763-730389748.png,./sample/labels\1623370763-730389748.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623370768-353419848,./sample/images\1623370768-353419848.png,./sample/labels\1623370768-353419848.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370771-033460416,./sample/images\1623370771-033460416.png,./sample/labels\1623370771-033460416.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1623370777-733804360,./sample/images\1623370777-733804360.png,./sample/labels\1623370777-733804360.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623370780-614514091,./sample/images\1623370780-614514091.png,./sample/labels\1623370780-614514091.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1623370784-433536242,./sample/images\1623370784-433536242.png,./sample/labels\1623370784-433536242.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370790-131465937,./sample/images\1623370790-131465937.png,./sample/labels\1623370790-131465937.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370804-801667180,./sample/images\1623370804-801667180.png,./sample/labels\1623370804-801667180.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370820-751125939,./sample/images\1623370820-751125939.png,./sample/labels\1623370820-751125939.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370831-199857818,./sample/images\1623370831-199857818.png,./sample/labels\1623370831-199857818.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370843-594990598,./sample/images\1623370843-594990598.png,./sample/labels\1623370843-594990598.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370854-448957572,./sample/images\1623370854-448957572.png,./sample/labels\1623370854-448957572.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370867-918355644,./sample/images\1623370867-918355644.png,./sample/labels\1623370867-918355644.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370879-046564382,./sample/images\1623370879-046564382.png,./sample/labels\1623370879-046564382.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370891-769912989,./sample/images\1623370891-769912989.png,./sample/labels\1623370891-769912989.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623370902-689996803,./sample/images\1623370902-689996803.png,./sample/labels\1623370902-689996803.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370910-930475238,./sample/images\1623370910-930475238.png,./sample/labels\1623370910-930475238.png,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370922-923423123,./sample/images\1623370922-923423123.png,./sample/labels\1623370922-923423123.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
